iter	Passed	Remaining
0	57	17186
1	58	8672
2	59	5842
3	59	4430
4	60	3581
5	61	3010
6	62	2602
7	62	2294
8	63	2055
9	64	1863
10	64	1706
11	65	1578
12	66	1467
13	67	1371
14	67	1288
15	68	1216
16	69	1151
17	69	1093
18	70	1040
19	70	992
20	71	949
21	72	910
22	72	875
23	73	841
24	73	813
25	74	785
26	75	759
27	75	736
28	76	713
29	77	693
30	77	673
31	78	655
32	78	638
33	79	621
34	80	606
35	80	591
36	81	577
37	82	565
38	82	553
39	83	542
40	84	531
41	84	520
42	85	510
43	86	501
44	86	491
45	87	482
46	88	473
47	88	465
48	89	457
49	90	450
50	90	443
51	91	436
52	92	429
53	92	423
54	93	416
55	94	410
56	94	404
57	95	398
58	96	392
59	96	386
60	97	380
61	97	375
62	98	370
63	99	365
64	99	361
65	100	356
66	101	351
67	101	346
68	102	342
69	102	337
70	103	333
71	104	329
72	104	325
73	105	321
74	106	318
75	106	314
76	107	310
77	107	306
78	108	303
79	109	300
80	109	297
81	110	293
82	111	290
83	111	287
84	112	284
85	113	281
86	113	278
87	114	275
88	114	272
89	115	269
90	116	266
91	116	264
92	117	261
93	117	258
94	118	255
95	119	253
96	119	250
97	120	247
98	120	245
99	121	242
100	122	240
101	122	237
102	123	235
103	123	233
104	124	231
105	125	229
106	125	226
107	126	224
108	127	222
109	127	220
110	128	218
111	129	217
112	130	215
113	130	213
114	131	211
115	134	213
116	135	211
117	136	211
118	138	209
119	139	208
120	140	207
121	141	206
122	143	207
123	144	205
124	145	204
125	146	202
126	147	201
127	148	199
128	150	199
129	151	197
130	151	195
131	152	194
132	154	193
133	155	192
134	155	190
135	156	188
136	157	187
137	158	186
138	159	184
139	160	183
140	160	181
141	161	179
142	162	178
143	162	176
144	163	174
145	164	173
146	165	171
147	165	170
148	166	168
149	167	167
150	168	165
151	168	164
152	169	163
153	170	161
154	171	160
155	171	158
156	172	157
157	173	155
158	174	154
159	174	152
160	175	151
161	175	149
162	176	148
163	177	146
164	177	145
165	178	144
166	179	142
167	179	141
168	180	139
169	181	138
170	181	137
171	182	135
172	183	134
173	183	133
174	184	131
175	185	130
176	185	129
177	186	127
178	186	126
179	187	124
180	188	123
181	188	122
182	189	121
183	190	119
184	190	118
185	191	117
186	191	115
187	192	114
188	192	113
189	193	112
190	194	110
191	194	109
192	195	108
193	195	107
194	196	105
195	197	104
196	197	103
197	198	102
198	199	101
199	199	99
200	200	98
201	200	97
202	201	96
203	201	95
204	202	93
205	203	92
206	203	91
207	204	90
208	204	89
209	205	88
210	206	87
211	207	85
212	207	84
213	208	83
214	208	82
215	209	81
216	210	80
217	210	79
218	211	78
219	211	77
220	212	75
221	213	74
222	213	73
223	214	72
224	214	71
225	215	70
226	216	69
227	216	68
228	217	67
229	217	66
230	218	65
231	218	64
232	219	63
233	219	62
234	220	61
235	221	59
236	221	58
237	222	57
238	223	56
239	223	55
240	224	54
241	224	53
242	225	52
243	226	51
244	226	50
245	227	49
246	227	48
247	228	47
248	229	46
249	229	45
250	230	44
251	230	43
252	231	43
253	232	42
254	233	41
255	233	40
256	234	39
257	234	38
258	235	37
259	235	36
260	236	35
261	237	34
262	237	33
263	238	32
264	238	31
265	239	30
266	240	29
267	240	28
268	241	27
269	241	26
270	242	25
271	243	25
272	243	24
273	244	23
274	244	22
275	245	21
276	246	20
277	246	19
278	247	18
279	247	17
280	248	16
281	249	15
282	249	14
283	250	14
284	250	13
285	251	12
286	252	11
287	252	10
288	253	9
289	253	8
290	254	7
291	255	6
292	255	6
293	256	5
294	257	4
295	258	3
296	259	2
297	259	1
298	260	0
299	261	0
