Crop,State,District,Season,Year,Area,Production,Yield,Rainfall,Temperature,Humidity,pH,N,P,K,Pesticide_usage
Jowar,Andhra Pradesh,Kurnool,Kharif,2020,7885.33,10914.87,1.3842,700.56,32.08,40.62,7.45,56.24,26.45,46.65,16.73
Tea,Gujarat,Ahmedabad,Whole Year,2021,452.61,788.13,1.7413,1570.0,27.66,79.66,4.59,81.38,30.5,55.99,12.56
Sugarcane,Haryana,Hisar,Whole Year,2002,43011.03,3674367.78,85.4285,1942.2,30.2,74.64,6.02,140.82,,70.53,5.0
Coffee,Haryana,Rohtak,Whole Year,2013,,28255.81,1.4406,1707.94,23.68,70.63,6.34,90.93,62.66,101.26,9.27
Sunflower,West Bengal,Siliguri,Rabi,2015,16394.38,26065.42,1.5899,737.81,28.97,56.19,,82.82,50.42,59.22,19.32
Rice,Odisha,Rourkela,Kharif,2006,21227.73,81559.06,3.8421,1298.26,29.11,85.8,6.41,95.8,45.87,40.28,18.56
Sugarcane,West Bengal,Kolkata,Whole Year,2007,22527.59,1656503.25,73.5322,1665.92,30.5,71.87,6.84,105.72,61.12,96.75,7.97
Maize,Assam,Silchar,Zaid,2014,21434.3,83728.81,3.9063,981.85,23.14,65.26,6.89,81.02,43.24,40.94,5.36
Groundnut,Odisha,Rourkela,Zaid,2003,47148.39,104348.82,2.2132,712.18,,52.64,6.18,29.97,43.9,86.41,4.76
Bajra,West Bengal,Siliguri,Kharif,2000,,15694.38,1.1473,321.91,27.14,48.69,6.23,65.91,20.01,27.05,14.0
Coffee,West Bengal,Siliguri,Whole Year,2021,,17916.96,1.6264,1753.92,20.47,83.93,6.21,113.49,52.12,83.24,3.39
Sugarcane,Andhra Pradesh,Kakinada,Whole Year,2000,12054.14,,79.5054,1242.06,31.39,84.04,6.36,108.69,,109.43,14.7
Tea,Tamil Nadu,Salem,Whole Year,2005,20001.34,52223.5,2.611,2262.3,24.05,92.17,4.83,128.99,35.97,46.03,4.79
Rice,Madhya Pradesh,Gwalior,Kharif,2007,19398.09,78971.56,4.0711,1170.21,31.25,87.55,5.89,117.47,42.75,46.82,13.37
Tomato,West Bengal,Kolkata,Whole Year,2016,12168.43,502700.96,41.3119,,23.39,66.98,6.73,83.72,86.92,116.02,17.99
Maize,Tamil Nadu,Tiruchirappalli,Zaid,2007,39288.5,179976.69,4.5809,1164.08,29.74,58.52,6.17,106.76,57.42,51.17,9.97
Sugarcane,Punjab,Bathinda,Kharif,2000,1001.96,71836.62,71.6961,1744.17,31.93,72.7,,129.63,55.36,84.66,10.42
Potato,Assam,Dibrugarh,Rabi,2018,44613.12,1378817.55,30.9061,788.45,19.93,68.9,6.08,111.56,91.79,125.13,5.98
Sugarcane,Punjab,Ludhiana,Whole Year,2011,47028.88,3679088.09,78.2304,1015.46,34.21,75.7,7.45,157.24,77.45,84.81,19.29
Coffee,Gujarat,Ahmedabad,Whole Year,2017,27884.38,57834.99,2.0741,1597.18,24.15,89.8,5.64,136.17,60.88,108.5,10.61
Jowar,Maharashtra,Nagpur,Kharif,2000,6917.4,11128.71,1.6088,609.89,27.56,58.35,6.12,78.36,38.82,32.41,0.6
Onion,Tamil Nadu,Tiruchirappalli,Zaid,2001,4789.7,115743.58,24.1651,517.06,18.73,64.77,6.05,83.13,41.08,78.62,1.23
Onion,Rajasthan,Bikaner,Zaid,2004,26159.94,470154.29,17.9723,334.14,15.67,63.28,6.81,90.8,46.47,84.92,12.93
Tea,Uttar Pradesh,Varanasi,Whole Year,2022,12617.94,26167.08,2.0738,2532.75,15.76,93.3,4.94,91.06,21.62,57.13,5.18
Potato,Rajasthan,Jaipur,Whole Year,2020,31949.7,905320.31,28.3358,865.02,15.48,76.32,5.24,105.83,86.28,121.78,2.84
Onion,Telangana,Hyderabad,Rabi,2019,8848.98,197103.95,22.2742,438.52,21.04,66.24,6.07,60.69,62.9,92.28,19.01
Tea,Madhya Pradesh,Indore,Whole Year,2018,25206.5,47753.71,1.8945,,23.35,75.53,5.09,131.39,33.17,46.52,18.83
Cotton,Haryana,Gurugram,Kharif,2010,47079.09,111638.65,2.3713,637.05,21.97,43.53,5.84,75.44,49.03,47.63,2.34
Potato,Punjab,Ludhiana,Rabi,2009,1261.27,,26.7888,848.37,21.29,82.55,6.1,120.72,71.27,105.91,16.17
Cotton,Karnataka,Hubli,Kharif,2015,6471.72,13481.89,2.0832,893.31,24.34,63.79,7.43,70.0,39.51,46.68,5.15
