temperature,rainfall,humidity,soil_pH,nitrogen,phosphorus,potassium,solar_radiation,wind_speed,soil_moisture,crop_type,yield,yield_category,crop_name
28.07,1162.36,69.19,5.5,165.64,81.12,106.11,22.81,2.4,41.43,6,8.706,High,Barley
18.99,705.07,69.37,5.2,65.45,49.54,83.65,18.04,4.93,38.84,3,7.327,Low,Soybean
29.28,539.04,39.64,5.91,135.99,59.15,114.98,18.23,5.28,60.14,4,7.796,Medium,Cotton
30.66,587.39,50.32,7.15,92.77,70.14,95.52,16.94,1.75,39.46,6,8.446,High,Barley
30.36,753.84,100.0,7.76,105.25,70.91,64.56,20.74,1.69,40.86,2,8.016,Medium,Maize
33.48,794.42,60.42,7.23,157.84,77.74,67.57,16.32,3.84,66.17,7,7.823,Medium,Millet
32.0,669.0,75.96,7.35,127.92,64.22,61.81,21.91,4.44,52.62,4,7.854,Medium,Cotton
29.76,511.17,55.24,6.44,38.63,51.64,110.44,13.47,3.05,69.94,4,7.242,Low,Cotton
26.58,763.16,33.65,5.11,80.94,53.01,69.87,13.6,4.52,63.89,6,6.756,Low,Barley
17.03,954.43,62.45,6.14,159.01,60.51,60.04,20.75,2.43,31.69,1,7.744,Medium,Wheat
29.58,1078.51,61.02,6.29,137.96,64.99,87.99,17.65,0.5,59.85,2,8.661,High,Maize
28.25,732.77,59.0,6.1,189.93,57.06,77.57,16.18,2.86,67.88,6,8.089,Medium,Barley
28.63,776.1,63.28,6.54,187.31,60.38,87.36,21.56,3.59,67.99,2,8.782,High,Maize
19.34,621.99,68.96,6.85,106.31,29.65,127.25,15.57,3.09,59.82,2,7.91,Medium,Maize
20.51,890.57,62.75,7.18,220.13,73.35,102.83,17.2,1.76,59.51,7,8.788,High,Millet
33.32,645.47,46.04,6.28,120.98,63.62,80.68,23.6,0.78,40.46,4,7.46,Low,Cotton
26.76,1071.94,72.29,4.98,81.49,80.04,44.79,24.16,2.73,32.44,3,6.831,Low,Soybean
31.09,364.24,35.76,6.11,94.65,60.0,67.5,24.29,4.85,39.72,7,7.022,Low,Millet
27.17,792.11,34.24,6.53,29.73,25.23,97.78,16.87,5.38,20.03,7,7.646,Medium,Millet
27.18,990.33,76.09,7.48,184.28,52.83,50.72,22.92,5.28,65.14,2,7.672,Medium,Maize
32.63,955.15,72.61,6.05,183.79,56.0,133.52,14.2,2.28,40.75,5,8.23,High,Sugarcane
23.9,1707.91,64.14,6.91,79.38,74.86,80.36,14.37,1.77,64.37,4,6.817,Low,Cotton
27.58,1004.94,44.07,6.73,110.88,18.59,81.22,8.6,4.24,26.53,1,8.044,Medium,Wheat
24.23,598.78,54.38,6.54,123.82,60.82,63.33,24.69,4.45,61.24,7,7.55,Medium,Millet
24.39,871.36,61.06,7.24,81.59,70.27,92.42,14.54,4.1,37.58,3,8.245,High,Soybean
25.14,367.13,41.06,5.97,49.8,46.77,51.05,17.49,0.5,25.73,5,7.317,Low,Sugarcane
28.33,875.82,53.91,6.04,111.59,61.49,134.12,14.36,2.2,69.41,5,8.466,High,Sugarcane
24.13,650.08,74.78,6.49,107.16,47.46,112.93,20.78,3.46,61.61,1,7.593,Medium,Wheat
34.53,1174.62,86.41,5.99,104.46,45.41,104.61,16.5,4.23,48.18,7,7.978,Medium,Millet
21.63,735.14,58.71,6.91,128.91,51.83,45.24,12.78,4.65,45.51,3,8.861,High,Soybean
25.88,864.97,76.35,5.93,177.18,45.79,85.14,19.77,3.72,51.59,4,8.035,Medium,Cotton
